city,date,X1_temperature_2m_C,X2_relative_humidity_2m_pct,X3_surface_pressure_hPa,X4_wind_speed_10m_kmh,X5_cloud_cover_pct,Y_apparent_temperature_C
Raleigh,2020-02-20,6.3,49,1015.0,14.2,100,1.7
Raleigh,2020-02-21,0.2,50,1018.9,16.9,0,-4.5
Raleigh,2020-02-22,7.7,40,1017.2,5.8,0,5.2
Raleigh,2020-02-23,13.6,42,1011.4,9.2,35,11.3
Raleigh,2020-02-24,10.8,68,1006.0,6.9,100,8.6
Raleigh,2020-02-25,16.4,83,997.0,16.6,100,15.0
Raleigh,2020-02-26,17.4,75,997.1,9.5,100,16.9
Raleigh,2020-02-27,7.4,38,1002.3,23.8,14,2.0
Raleigh,2020-02-28,9.1,40,1003.7,15.3,29,5.2
Raleigh,2020-02-29,7.3,43,1004.2,21.9,100,1.7
Raleigh,2020-03-01,9.5,35,1012.8,4.7,41,7.4
Raleigh,2020-03-02,16.7,40,1006.0,18.3,99,13.4
Raleigh,2020-03-03,17.6,81,995.9,21.4,100,15.9
Raleigh,2020-03-04,15.2,39,1002.9,4.5,100,12.7
Raleigh,2020-03-05,11.0,58,1007.5,10.5,100,7.9
Raleigh,2020-03-06,13.4,41,997.4,20.7,0,8.8
Raleigh,2020-03-07,9.2,38,1015.0,20.4,95,3.6
Raleigh,2020-03-08,12.7,36,1023.1,6.8,0,10.7
Raleigh,2020-03-09,17.3,46,1020.9,16.4,100,15.0
Raleigh,2020-03-10,19.2,65,1012.6,19.8,100,17.1
